Lon,Lat,PA
-8.725,43.325,1
-8.525,43.325,1
-9.125,42.825,1
-9.025,42.675,1
-8.875,42.025,1
-8.981,41.925,1
-8.875,41.825,1
-8.875,41.725,1
-8.868,41.625,1
-8.868,41.575,1
-8.868,41.525,1
-8.775,41.375,1
-8.725,41.225,1
-8.675,41.025,1
-8.775,40.625,1
-8.875,40.175,1
-9.275,39.425,1
-9.375,39.325,1
-9.425,39.125,1
-9.425,38.975,1
-9.175,38.425,1
-8.875,37.975,1
-8.825,37.825,1
-8.875,37.725,1
-8.925,37.175,0
-7.475,37.175,0
-8.575,37.125,0
-8.775,37.075,0
-8.675,37.075,0
-6.725,37.075,0
-8.975,37.025,0
-8.925,37.025,0
-8.875,37.025,0
-6.425,36.875,0
-6.425,36.675,0
-6.175,36.375,0
-5.625,36.025,0
-6.175,35.175,0
-6.825,34.025,0
-7.175,33.825,0
-7.525,33.625,0
-9.675,31.725,0
-9.775,31.525,0
-9.625,30.375,1